seed,baseline_dev_UAS,g2g_dev_UAS
42,0.385,0.386
43,0.354,0.373
44,0.386,0.329
45,0.390,0.376
46,0.392,0.389
47,0.403,0.372
mean,0.385,0.371
std,0.015,0.020
