seed,baseline_dev_UAS,g2g_dev_UAS
42,0.385,0.406
43,0.354,0.374
44,0.386,0.345
45,0.390,0.382
46,0.392,0.393
47,0.403,0.371
mean,0.385,0.379
std,0.015,0.019
